genome	test_name	ref_filename	assembly_filename	ref_length	assembly_length	overall_errors	overall_identity	overall_qscore	substitutions	insertions	deletions	repeat_errors	repeat_identity	repeat_qscore	non_repeat_errors	non_repeat_identity	non_repeat_qscore	repeat_percentage	repeat_error_balance	homopolymer_errors	non_homopolymer_errors	lowest_100_bp_identity	lowest_1000_bp_identity	prodigal_count	total_prodigal_length	mean_prodigal_length	total_mapq	total_alignment_score	ale_score	ale_place_avg	ale_insert_avg	ale_kmer_avg	ale_depth_score_avg
NC_000117.1	reference	reference_genomes/NC_000117.1.fasta	reference_genomes/NC_000117.1.fasta	1042519	1042519	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.18%		0	0	100%	100.0%	897	312998	348.939	41309961	102391257	-835904.229320	-2.062414	-0.285052	-0.112394	0.093067
NC_000853.1	reference	reference_genomes/NC_000853.1.fasta	reference_genomes/NC_000853.1.fasta	1860725	1860725	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.89%		0	0	100%	100.0%	1866	591901	317.203	74255419	182753135	-1511818.598036	-2.017836	-0.284026	-0.132838	0.087634
NC_000907.1	reference	reference_genomes/NC_000907.1.fasta	reference_genomes/NC_000907.1.fasta	1830138	1830138	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.50%		0	0	100%	100.0%	1749	535446	306.144	71424654	179746177	-1578714.390498	-2.043526	-0.284495	-0.179109	0.092494
NC_000912.1	reference	reference_genomes/NC_000912.1.fasta	reference_genomes/NC_000912.1.fasta	816394	816394	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	11.35%		0	0	100%	100.0%	1402	213948	152.602	32501207	80181301	-700260.776211	-2.079067	-0.287896	-0.156013	0.087248
NC_000913.3	reference	reference_genomes/NC_000913.3.fasta	reference_genomes/NC_000913.3.fasta	4641652	4641652	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.68%		0	0	100%	100.0%	4319	1357057	314.206	182846670	455884506	-3434324.711265	-2.024066	-0.281599	-0.059815	0.088476
NC_000915.1	reference	reference_genomes/NC_000915.1.fasta	reference_genomes/NC_000915.1.fasta	1667867	1667867	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	5.84%		0	0	100%	100.0%	1579	504904	319.762	64699433	163806451	-1564390.818294	-2.057358	-0.285102	-0.248540	0.091434
NC_000918.1	reference	reference_genomes/NC_000918.1.fasta	reference_genomes/NC_000918.1.fasta	1551335	1551335	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.08%		0	0	100%	100.0%	1707	496136	290.648	61518769	152362717	-1295621.161968	-2.051833	-0.285761	-0.147624	0.091701
NC_000922.1	reference	reference_genomes/NC_000922.1.fasta	reference_genomes/NC_000922.1.fasta	1230230	1230230	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.28%		0	0	100%	100.0%	1063	367342	345.571	49004603	120823220	-990097.810384	-2.052402	-0.284379	-0.116757	0.090873
NC_000962.3	reference	reference_genomes/NC_000962.3.fasta	reference_genomes/NC_000962.3.fasta	4411532	4411532	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.58%		0	0	100%	100.0%	4085	1333018	326.320	174347800	433285072	-3934079.886539	-2.020218	-0.281718	-0.215269	0.090808
NC_000963.1	reference	reference_genomes/NC_000963.1.fasta	reference_genomes/NC_000963.1.fasta	1111523	1111523	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	0.51%		0	0	100%	100.0%	897	285538	318.326	44428619	109165297	-1126068.201942	-2.079024	-0.285306	-0.317599	0.092616
